,term,neutral_alternative
1329,trainman,
1330,tramman,
1331,tramwayman,
1332,transitman,
1333,trawlerman,
1334,treeman,
1335,trencherman,
1336,trencherwoman,
1337,trewsman,
1338,tribesman,
1339,tribesmanship,
1340,tribeswoman,
1341,trinkerman,
1342,tripeman,
1343,tripewoman,
1344,trolleyman,
1345,trollman,
1346,trowelman,
1347,trowman,
1348,truckman,
1349,trunchman,
1350,trustman,
1351,trustwoman,
1352,truthsman,
1353,tubeman,
1354,tubman,
1355,tubwoman,
1356,tucuman,
1357,tugboatman,
1358,tugman,
1359,tunnelman,
1360,tupman,
1361,turfman,
1362,tutman,
1363,tuttiman,
1364,tutworkman,
1365,udalman,
1366,underalderman,
1367,underclassman,
1368,undercoachman,
1369,underfootman,
1370,undergentleman,
1371,underhangman,
1372,underlineman,
1373,underman,
1374,undermanned,
1375,undermanning,
1376,undermarshalman,
1377,underorseman,
1378,underseaman,
1379,underseedman,
1380,undersignalman,
1381,underworkman,
1382,unemancipated,
1383,unfreeman,
1384,ungentleman,
1385,ungentlemanize,
1386,ungentlemanlike,
1387,ungentlemanlikeness,
1388,ungentlemanliness,
1389,ungentlemanly,
1390,ungentlewomanlike,
1391,unman,
1392,unmancipated,
1393,unmanful,
1394,unmanfully,
1395,unmanlike,
1396,unmanlily,
1397,unmanliness,
1398,unmanly,
1399,unmanned,
1400,unmanner,
1401,unsalesmanlike,
1402,unseamanlike,
1403,unseamanship,
1404,unshowmanlike,
1405,unsportsmanlike,
1406,unsportsmanly,
1407,unstatesmanlike,
1408,untradesmanlike,
1409,unwoman,
1410,unwomanish,
1411,unwomanize,
1412,unwomanized,
1413,unwomanlike,
1414,unwomanliness,
1415,unwomanly,
1416,unworkmanlike,
1417,unworkmanly,
1418,unyachtsmanlike,
1419,urman,
1420,valveman,
1421,vanman,
1422,vannerman,
1423,vatman,
1424,veldman,
1425,velociman,
1426,venireman,
1427,verseman,
1428,versemanship,
1429,vestryman,
1430,vestrymanly,
1431,vestrymanship,
1432,viseman,
1433,waferwoman,
1434,wagesman,
1435,wagonman,
1436,wagonwayman,
1437,wainman,
1438,walksman,
1439,wallman,
1440,wandsman,
1441,wardman,
1442,wardsman,
1443,wardswoman,
1444,wardwoman,
1445,warehouseman,
1446,wareman,
1447,warman,
1448,washerman,
1449,washerwoman,
1450,washeryman,
1451,washman,
1452,washwoman,
1453,wasteman,
1454,watchman,
1455,watchmanly,
1456,watchmanship,
1457,watchwoman,
1458,wateringman,
1459,waterman,
1460,watermanship,
1461,waterwoman,
1462,wattman,
1463,waxman,
1464,wayman,
1465,wealdsman,
1466,weatherman,
1467,weighbridgeman,
1468,weighman,
1469,weirdwoman,
1470,wellman,
1471,Welshman,
1472,Welshwoman,
1473,Wessexman,
1474,whaleman,
1475,wharfman,
1476,wheelman,
1477,wheelsman,
1478,wherryman,
1479,whipman,
1480,whipmanship,
1481,whizzerman,
1482,widowman,
1483,winchman,
1484,windowman,
1485,wingman,
1486,wingmanship,
1487,winkelman,
1488,winzeman,
1489,wireman,
1490,wiseman,
1491,wisewoman,
1492,witchman,
1493,witchwoman,
1494,woadman,
1495,woldsman,
1496,woman,
1497,womanbody,
1498,womandom,
1499,womanfolk,
1500,womanfully,
1501,womanhead,
1502,womanhearted,
1503,womanhood,
1504,womanhouse,
1505,womanish,
1506,womanishly,
1507,womanishness,
1508,womanism,
1509,womanist,
1510,womanity,
1511,womanization,
1512,womanize,
1513,womanizer,
1514,womankind,
1515,womanless,
1516,womanlike,
1517,womanliness,
1518,womanly,
1519,womanmuckle,
1520,womanness,
1521,womanpost,
1522,womanproof,
1523,womanship,
1524,womanways,
1525,womanwise,
1526,woodcraftsman,
1527,woodman,
1528,woodmancraft,
1529,woodmanship,
1530,woodsman,
1531,woolman,
1532,wordcraftsman,
1533,wordman,
1534,wordmanship,
1535,wordsman,
1536,wordsmanship,
1537,workingman,
1538,workingwoman,
1539,workman,
1540,workmanlike,
1541,workmanlikeness,
1542,workmanliness,
1543,workmanly,
1544,workmanship,
1545,workwoman,
1546,workwomanlike,
1547,workwomanly,
1548,wringman,
1549,yachtman,
1550,yachtmanship,
1551,yachtsman,
1552,yachtsmanlike,
1553,yachtsmanship,
1554,yachtswoman,
1555,yakman,
1556,yardman,
1557,yardsman,
1558,yawlsman,
1559,yeelaman,
1560,yeggman,
1561,yeoman,
1562,yeomaness,
1563,yeomanette,
1564,yeomanhood,
1565,yeomanlike,
1566,yeomanly,
1567,yeomanry,
1568,yeomanwise,
1569,yeowoman,
1570,Yorkshireman,
1571,she,
1572,her,
1573,him,
1574,hed,
1575,shell,
1576,shed,
1577,hell,
1578,he,
